nombre,edad,ciudad,salario,departamento,años_empresa,satisfaccion,remoto,formacion,ventas_anuales
Laura,39,Madrid,38652.0,IT,3,3.0,False,Doctorado,157661
Carlos,28,Valencia,22748.0,RRHH,1,2.0,True,Bachillerato,161087
Juan,33,Sevilla,39233.0,RRHH,8,1.0,False,Bachillerato,160081
Elena,50,Barcelona,27435.0,Marketing,22,3.0,False,Master,345453
Laura,26,Barcelona,,IT,8,2.0,False,Doctorado,388590
David,23,Bilbao,76425.0,IT,11,2.0,True,FP,193118
María,33,Barcelona,48355.0,IT,9,4.0,True,Grado,368805
Laura,46,Bilbao,73771.0,IT,5,1.0,True,Bachillerato,157215
Juan,20,Madrid,75799.0,RRHH,14,2.0,False,Grado,6154
Elena,37,Sevilla,31116.0,RRHH,3,,True,Grado,152876
Carlos,53,Bilbao,43470.0,IT,21,4.0,False,Master,434904
Juan,36,Madrid,60344.0,Marketing,5,1.0,False,Doctorado,64288
Juan,43,Barcelona,60918.0,Ventas,5,5.0,True,Bachillerato,51195
María,20,Barcelona,,Ventas,19,,False,Grado,282725
Pedro,36,Madrid,57298.0,Marketing,14,2.0,True,Bachillerato,445864
Elena,37,Barcelona,60956.0,IT,4,2.0,True,FP,292231
Luis,49,Madrid,32683.0,RRHH,13,3.0,True,Master,181002
Juan,24,Bilbao,79629.0,Ventas,10,2.0,True,FP,164053
Pedro,58,Bilbao,18504.0,Finanzas,18,4.0,True,Bachillerato,69298
Luis,50,Madrid,51982.0,Finanzas,8,1.0,False,Bachillerato,308311
Elena,57,Bilbao,52299.0,Marketing,8,4.0,False,Doctorado,206376
Ana,56,Bilbao,46016.0,IT,7,2.0,False,Grado,436624
David,35,Bilbao,41960.0,Ventas,8,5.0,True,Grado,39499
Pedro,57,Valencia,51591.0,IT,14,1.0,True,FP,387960
Sofía,18,Sevilla,35312.0,Ventas,19,1.0,True,Master,445485
Ana,28,Barcelona,55797.0,Marketing,6,3.0,False,Grado,169631
David,45,Valencia,64196.0,Marketing,1,3.0,True,Doctorado,245198
María,42,Bilbao,,Finanzas,23,5.0,False,FP,467535
Laura,40,Madrid,20105.0,IT,15,1.0,False,FP,242997
Carlos,48,Bilbao,54395.0,Finanzas,1,5.0,True,Doctorado,488533
Sofía,47,Sevilla,63740.0,IT,17,,True,Master,96347
María,59,Bilbao,40700.0,Finanzas,1,3.0,False,Doctorado,310931
Elena,52,Madrid,52620.0,RRHH,15,1.0,True,Master,297632
María,24,Sevilla,55678.0,RRHH,23,4.0,False,Doctorado,336585
Laura,33,Bilbao,38559.0,RRHH,2,2.0,True,Doctorado,205735
Elena,43,Sevilla,45509.0,RRHH,14,3.0,True,Bachillerato,22431
Sofía,19,Barcelona,,Ventas,21,3.0,False,FP,323825
Laura,18,Barcelona,79642.0,RRHH,8,4.0,True,Doctorado,194555
Luis,29,Bilbao,29003.0,Marketing,8,4.0,False,Doctorado,122720
Carlos,22,Sevilla,39732.0,Marketing,19,5.0,True,Grado,49153
Sofía,54,Madrid,,Ventas,7,5.0,False,FP,268512
Luis,49,Bilbao,48354.0,RRHH,19,2.0,False,Grado,420640
David,26,Barcelona,31843.0,RRHH,6,2.0,True,FP,374504
Sofía,58,Barcelona,62472.0,RRHH,6,1.0,False,Grado,176076
David,52,Bilbao,66529.0,Finanzas,3,,True,Doctorado,477085
Elena,36,Sevilla,24190.0,IT,7,3.0,True,Doctorado,219724
Luis,33,Barcelona,35640.0,Finanzas,19,,True,Bachillerato,374899
Carlos,20,Sevilla,70528.0,IT,8,3.0,False,Grado,56985
Laura,37,Barcelona,56413.0,RRHH,10,4.0,False,Master,312213
Juan,41,Barcelona,70638.0,RRHH,20,5.0,True,Bachillerato,314470
María,50,Valencia,70736.0,Finanzas,15,4.0,True,Grado,108737
Ana,41,Barcelona,60356.0,Finanzas,15,2.0,False,Grado,212133
Carlos,28,Madrid,62597.0,IT,1,2.0,True,Bachillerato,154470
Luis,25,Bilbao,58821.0,Marketing,20,1.0,True,Doctorado,229465
Juan,53,Bilbao,21330.0,IT,7,5.0,False,Grado,50861
Carlos,55,Sevilla,37087.0,Finanzas,4,4.0,True,Doctorado,338041
Luis,57,Barcelona,59430.0,Finanzas,6,3.0,False,Bachillerato,212977
Pedro,37,Madrid,42504.0,Ventas,1,2.0,True,Doctorado,127118
Pedro,52,Sevilla,25114.0,Finanzas,5,2.0,False,FP,330721
David,42,Valencia,,Ventas,23,3.0,True,Master,196713
Carlos,52,Sevilla,52121.0,Marketing,1,4.0,True,Grado,9078
Pedro,42,Sevilla,,IT,4,4.0,False,Master,418219
Luis,46,Barcelona,29023.0,IT,22,5.0,True,Doctorado,324912
David,35,Valencia,39447.0,Ventas,2,5.0,False,Grado,51047
Luis,63,Sevilla,42933.0,IT,10,1.0,True,Doctorado,333770
David,35,Madrid,,Finanzas,5,2.0,False,FP,319804
Carlos,19,Madrid,41959.0,RRHH,10,5.0,False,Bachillerato,235458
Juan,52,Bilbao,18667.0,Ventas,1,4.0,False,Grado,443002
Laura,33,Valencia,,IT,22,3.0,False,FP,395141
Sofía,58,Valencia,,Ventas,6,4.0,True,FP,215048
Juan,53,Bilbao,27337.0,Ventas,13,2.0,True,Grado,236293
Elena,50,Sevilla,64427.0,RRHH,15,4.0,False,Doctorado,117832
Luis,21,Valencia,73971.0,Finanzas,4,1.0,False,FP,392550
Elena,50,Madrid,79529.0,Ventas,13,2.0,False,Master,125150
Juan,31,Madrid,54487.0,IT,24,3.0,True,FP,157087
David,38,Barcelona,37129.0,Marketing,20,1.0,True,Doctorado,33320
Sofía,37,Valencia,58251.0,Ventas,24,2.0,True,Doctorado,327025
Sofía,25,Sevilla,49921.0,Ventas,15,3.0,True,Master,90827
Ana,24,Bilbao,51307.0,RRHH,8,1.0,False,FP,364359
Sofía,20,Bilbao,45355.0,Finanzas,5,,False,Doctorado,419505
Laura,34,Sevilla,55732.0,Marketing,15,2.0,False,Grado,259931
Sofía,50,Barcelona,79480.0,IT,4,5.0,True,Bachillerato,396605
Juan,29,Bilbao,22835.0,Marketing,12,1.0,True,Bachillerato,418899
Ana,39,Valencia,,IT,13,1.0,True,Bachillerato,406845
Juan,39,Barcelona,56810.0,Finanzas,2,3.0,False,FP,323694
Juan,63,Valencia,65605.0,IT,19,4.0,False,Master,24826
María,47,Madrid,74254.0,RRHH,19,2.0,True,Doctorado,100734
Ana,55,Barcelona,58080.0,RRHH,4,2.0,False,Grado,157702
Juan,55,Bilbao,,RRHH,4,5.0,True,Grado,229834
María,62,Barcelona,31216.0,RRHH,11,5.0,True,FP,177235
María,25,Barcelona,73284.0,Marketing,5,2.0,False,Bachillerato,98511
Ana,44,Barcelona,75043.0,Finanzas,20,5.0,True,FP,459651
Elena,44,Barcelona,77852.0,IT,11,,False,Master,273797
David,51,Valencia,53547.0,IT,10,2.0,True,Master,159033
Laura,38,Madrid,49471.0,RRHH,8,5.0,False,Doctorado,81941
David,47,Sevilla,35308.0,RRHH,6,2.0,False,Doctorado,205209
Sofía,50,Barcelona,45532.0,Ventas,6,4.0,False,Master,295806
Laura,45,Bilbao,52349.0,Finanzas,8,1.0,True,Master,98818
Sofía,64,Barcelona,74866.0,Marketing,23,2.0,True,Master,449662
Juan,50,Bilbao,70476.0,IT,15,1.0,False,FP,152360
Luis,22,Valencia,63445.0,Ventas,14,5.0,False,Master,253627
Ana,36,Bilbao,23713.0,Ventas,11,1.0,True,Grado,95081
Laura,21,Sevilla,74178.0,IT,12,2.0,True,Bachillerato,36877
Laura,52,Madrid,67407.0,Marketing,13,4.0,True,Master,373706
Juan,34,Bilbao,22804.0,Ventas,8,5.0,False,Bachillerato,408529
Elena,61,Bilbao,68990.0,Ventas,18,2.0,True,FP,211957
María,45,Madrid,28136.0,Finanzas,1,5.0,True,Bachillerato,72715
Juan,47,Sevilla,18009.0,Marketing,15,3.0,False,FP,141398
Pedro,46,Barcelona,37255.0,Ventas,8,1.0,True,Grado,110091
María,63,Bilbao,76141.0,Marketing,11,3.0,True,FP,132632
Ana,23,Madrid,,IT,12,2.0,True,FP,341292
María,52,Valencia,74570.0,RRHH,12,4.0,False,Doctorado,83186
Elena,58,Madrid,47548.0,Ventas,4,5.0,False,Master,419961
María,54,Valencia,55892.0,Finanzas,16,1.0,False,Master,162962
Ana,41,Sevilla,19015.0,IT,4,5.0,False,Grado,151094
Elena,46,Barcelona,77168.0,Marketing,5,2.0,False,Grado,385773
David,63,Madrid,79813.0,IT,24,5.0,False,Master,445795
Laura,48,Bilbao,45712.0,Ventas,5,,False,Doctorado,70316
Laura,52,Sevilla,52961.0,Marketing,8,2.0,True,Master,477063
Sofía,50,Madrid,26415.0,RRHH,10,5.0,True,Doctorado,28380
David,38,Bilbao,64318.0,IT,17,4.0,False,Grado,110198
David,49,Madrid,65280.0,Ventas,9,2.0,True,Bachillerato,264500
María,40,Valencia,,Finanzas,22,2.0,True,Grado,70326
Laura,50,Madrid,22158.0,Marketing,19,4.0,False,Grado,354591
Ana,20,Madrid,,IT,14,3.0,True,FP,114994
